City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,coruripe,-10.1256,-36.1756,82.04,65,98,13.98,BR,1668882552
192,saint-joseph,-21.3667,55.6167,73.78,76,27,6.93,RE,1668882553
193,talnakh,69.4865,88.3972,-2.79,99,100,4.85,RU,1668882553
194,bambous virieux,-20.3428,57.7575,73.65,78,75,2.3,MU,1668882553
195,mananara,-16.1667,49.7667,72.21,85,4,2.06,MG,1668882554
196,guerrero negro,27.9769,-114.0611,66.09,44,0,3.69,MX,1668882390
197,sechura,-5.5569,-80.8222,77.59,54,14,14.7,PE,1668882554
198,bokoro,12.3807,17.0568,85.41,20,1,8.3,TD,1668882555
199,tongzi,28.7829,105.0877,59.72,67,2,1.07,CN,1668882555
200,myanaung,18.2833,95.3167,73.26,60,77,8.48,MM,1668882556
201,jutai,-5.1833,-68.9,91.08,50,100,3.49,BR,1668882556
202,statesboro,32.4488,-81.7832,60.33,36,0,0.0,US,1668882557
203,kurilsk,45.2333,147.8833,37.54,88,76,3.2,RU,1668882557
204,avera,33.194,-82.5271,57.54,38,51,6.73,US,1668882558
205,ancud,-41.8697,-73.8203,50.16,88,100,9.66,CL,1668882558
206,berlevag,70.8578,29.0864,37.4,75,75,13.8,NO,1668882558
207,tadine,-21.55,167.8833,72.75,86,95,12.73,NC,1668882559
208,longyearbyen,78.2186,15.6401,37.24,87,100,17.27,SJ,1668882559
209,nouadhibou,20.931,-17.0347,71.58,64,1,17.27,MR,1668882560
210,gopalpur,19.2667,84.9167,68.7,51,89,9.37,IN,1668882560
211,sao joao dos patos,-6.495,-43.7022,85.41,49,97,5.64,BR,1668882438
212,xinmin,41.9908,122.8253,37.18,64,60,4.63,CN,1668882561
213,gerash,27.6652,54.1371,68.14,48,100,5.77,IR,1668882562
214,thompson,55.7435,-97.8558,-3.84,71,75,5.75,CA,1668882395
215,pevek,69.7008,170.3133,-9.72,96,100,2.17,RU,1668882563
216,navalmoral de la mata,39.8916,-5.5406,52.95,59,81,3.15,ES,1668882563
217,berekua,15.2333,-61.3167,90.54,51,20,2.3,DM,1668882564
218,sola,-13.8833,167.55,81.01,73,81,9.42,VU,1668882565
219,karasjok,69.4719,25.5112,6.46,93,19,2.26,NO,1668882565
220,jakar,27.5492,90.7525,40.15,91,16,4.07,BT,1668882565
221,port lincoln,-34.7333,135.8667,55.06,69,18,20.18,AU,1668882566
222,yellowknife,62.456,-114.3525,16.32,73,75,9.22,CA,1668882566
223,ken caryl,39.5773,-105.1169,41.43,40,15,3.0,US,1668882567
224,samarai,-10.6167,150.6667,82.35,79,69,8.43,PG,1668882567
225,sabinas hidalgo,26.5,-100.1667,46.27,86,100,8.52,MX,1668882568
226,muriti,-1.9833,32.9167,72.86,64,88,5.19,TZ,1668882568
227,tongling,30.95,117.7833,60.42,78,100,1.83,CN,1668882569
228,san,13.3034,-4.8956,85.21,18,83,7.2,ML,1668882559
229,la rioja,42.25,-2.5,38.98,86,85,6.64,ES,1668882569
230,betioky,-23.7167,44.3833,72.5,74,24,6.02,MG,1668882570
231,taltal,-25.4,-70.4833,65.91,73,28,4.0,CL,1668882570
232,wajima,37.4,136.9,55.65,71,99,12.46,JP,1668882571
233,quang ngai,15.1167,108.8,73.58,95,100,4.9,VN,1668882571
234,eyl,7.9803,49.8164,79.86,82,100,18.97,SO,1668882572
235,kemijarvi,66.7131,27.4306,18.59,99,71,2.55,FI,1668882572
236,aripuana,-9.1667,-60.6333,81.54,72,100,2.64,BR,1668882572
237,port blair,11.6667,92.75,78.84,83,20,2.3,IN,1668882573
238,naze,28.3667,129.4833,68.92,86,87,2.66,JP,1668882573
239,nishihara,26.1842,127.7558,73.45,91,40,1.14,JP,1668882574
240,yar-sale,66.8333,70.8333,-8.86,92,79,17.29,RU,1668882574
241,soyo,-6.1349,12.3689,78.51,78,83,9.84,AO,1668882575
242,bay roberts,47.5999,-53.2648,42.51,70,91,5.99,CA,1668882575
243,ribeira grande,38.5167,-28.7,64.8,94,75,13.8,PT,1668882575
244,yeppoon,-23.1333,150.7333,76.78,84,22,9.91,AU,1668882576
245,nantucket,41.2835,-70.0995,45.0,61,78,20.24,US,1668882576
246,nanortalik,60.1432,-45.2371,31.24,83,100,13.44,GL,1668882576
247,bianzhuang,34.8486,118.0447,53.85,94,34,5.3,CN,1668882577
248,taonan,45.3333,122.7833,28.6,43,0,16.84,CN,1668882577
249,nhamunda,-2.1861,-56.7131,104.09,22,72,2.84,BR,1668882578
250,huarmey,-10.0681,-78.1522,69.24,72,100,8.19,PE,1668882578
251,altamira,-3.2033,-52.2064,84.29,70,75,1.14,BR,1668882578
252,juegang,32.3174,121.1855,59.92,96,99,8.63,CN,1668882579
253,lonevag,60.5262,5.4937,34.0,70,0,5.01,NO,1668882579
254,tshane,-24.0196,21.8684,83.43,19,30,13.85,BW,1668882580
255,puri,19.8,85.85,68.52,49,54,10.51,IN,1668882580
256,katsuura,35.1333,140.3,59.09,66,100,13.49,JP,1668882580
257,bengkulu,-3.8004,102.2655,74.5,90,100,5.35,ID,1668882581
258,myaundzha,63.0494,147.1858,-24.29,98,73,2.08,RU,1668882581
259,bathsheba,13.2167,-59.5167,86.61,66,40,21.85,BB,1668882582
260,sobolevo,54.4299,31.8996,24.94,96,100,9.78,RU,1668882582
261,buala,-8.145,159.5921,80.82,79,94,5.61,SB,1668882582
262,ashland,40.8167,-82.2665,29.98,60,19,18.25,US,1668882583
263,klaksvik,62.2266,-6.589,49.12,92,97,38.14,FO,1668882583
264,pilar,-9.5972,-35.9567,84.13,56,100,11.81,BR,1668882552
265,szprotawa,51.5656,15.5366,31.12,60,93,8.23,PL,1668882584
266,karaton,-6.3424,106.1045,74.57,91,58,4.83,ID,1668882584
267,saint george,37.1041,-113.5841,45.95,34,0,4.61,US,1668882584
268,hailey,43.5196,-114.3153,26.89,63,0,8.05,US,1668882585
269,poum,-20.2333,164.0167,75.81,77,22,13.85,NC,1668882585
270,faanui,-16.4833,-151.75,78.12,78,50,7.45,PF,1668882585
271,rawson,-43.3002,-65.1023,77.29,16,0,23.02,AR,1668882586
272,fredonia,42.4401,-79.3317,29.62,50,100,13.8,US,1668882586
273,honningsvag,70.9821,25.9704,35.35,80,100,5.75,NO,1668882586
274,sao filipe,14.8961,-24.4956,79.0,64,74,14.79,CV,1668882587
275,tateyama,34.9833,139.8667,57.09,66,99,16.69,JP,1668882587
276,magadi,12.9667,77.2333,64.56,72,78,5.93,IN,1668882587
277,araceli,10.5529,119.9913,80.82,82,100,10.36,PH,1668882588
278,xai-xai,-25.0519,33.6442,79.65,73,98,14.47,MZ,1668882588
