City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,carnarvon,-24.8667,113.6333,66.31,61,38,14.09,AU,1667859601
156,doha,25.2867,51.5333,84.18,74,0,8.05,QA,1667859355
157,kavieng,-2.5744,150.7967,82.24,75,92,4.63,PG,1667859601
158,morondava,-20.2833,44.2833,74.8,81,42,9.64,MG,1667859602
159,magaria,12.9983,8.9099,75.51,19,6,8.46,NE,1667859602
160,lazaro cardenas,17.9583,-102.2,82.98,72,10,8.7,MX,1667859603
161,mount gambier,-37.8333,140.7667,65.59,69,0,8.12,AU,1667859603
162,wainwright,52.839,-110.8572,6.58,94,100,15.59,CA,1667859307
163,high prairie,55.4334,-116.4858,7.25,89,100,10.63,CA,1667859604
164,puri,19.8,85.85,70.32,65,89,2.04,IN,1667859604
165,cabo san lucas,22.8909,-109.9124,85.6,64,20,18.41,MX,1667859346
166,pryozerne,45.2698,36.3303,44.89,70,98,15.41,UA,1667859605
167,talnakh,69.4865,88.3972,-2.79,98,98,6.73,RU,1667859605
168,buchanan,5.8808,-10.0467,77.95,85,100,4.76,LR,1667859606
169,faanui,-16.4833,-151.75,78.76,76,16,7.25,PF,1667859606
170,cherskiy,68.75,161.3,-7.71,99,17,2.8,RU,1667859607
171,tabuk,17.4189,121.4443,71.94,96,46,1.88,PH,1667859607
172,havelock,34.8791,-76.9013,78.75,70,0,5.75,US,1667859398
173,dikson,73.5069,80.5464,4.78,94,100,11.07,RU,1667859608
174,vila,42.0304,-8.1588,54.48,94,99,11.01,PT,1667859608
175,lere,10.387,8.5726,68.59,34,59,2.89,NG,1667859609
176,komsomolskiy,40.4272,71.7189,50.72,66,100,2.3,UZ,1667859610
177,iqaluit,63.7506,-68.5145,20.93,62,100,17.0,CA,1667859610
178,viedma,-40.8135,-62.9967,84.33,21,0,18.66,AR,1667859611
179,sorbhog,26.5,90.8667,64.78,85,10,4.27,IN,1667859611
180,uppsala,60.0,17.75,47.64,93,100,8.05,SE,1667859612
181,shaowu,27.3409,117.4831,59.22,95,3,0.94,CN,1667859612
182,goderich,43.7501,-81.7165,46.9,49,6,12.66,CA,1667859529
183,chernoyerkovskaya,45.4331,37.7686,41.09,70,100,14.29,RU,1667859613
184,grand gaube,-20.0064,57.6608,72.37,73,0,1.01,MU,1667859613
185,altay,47.8667,88.1167,38.12,47,44,7.43,CN,1667859614
186,krasnoselkup,65.7,82.4667,20.55,96,100,10.38,RU,1667859614
187,koslan,63.4564,48.8989,33.19,98,100,9.06,RU,1667859614
188,khatanga,71.9667,102.5,4.24,97,99,4.94,RU,1667859615
189,the valley,18.217,-63.0578,80.74,83,40,6.91,AI,1667859616
190,jardim,-21.4803,-56.1381,73.2,46,44,6.51,BR,1667859616
191,airai,-8.9266,125.4092,63.28,82,100,1.23,TL,1667859617
192,leshukonskoye,64.8989,45.7622,33.67,99,100,5.91,RU,1667859618
193,vao,-22.6667,167.4833,74.48,84,86,17.38,NC,1667859618
194,half moon bay,37.4636,-122.4286,63.66,64,100,14.97,US,1667859619
195,andapa,-14.65,49.65,62.92,99,96,1.5,MG,1667859619
196,simbahan,6.3032,120.5836,81.88,77,100,2.77,PH,1667859619
197,gwadar,25.1216,62.3254,79.2,71,0,5.88,PK,1667859620
198,laguna,38.421,-121.4238,61.92,50,75,10.36,US,1667859621
199,moshi,-3.35,37.3333,67.44,88,38,5.14,TZ,1667859621
200,katsuura,35.1333,140.3,59.49,91,13,9.86,JP,1667859622
201,bosaso,11.2842,49.1816,79.03,77,2,4.34,SO,1667859623
202,mnogovershinnyy,53.9353,139.9242,8.4,80,20,7.67,RU,1667859623
203,nanga eboko,4.6833,12.3667,70.68,80,99,1.79,CM,1667859623
204,alugan,12.2188,125.4808,80.96,83,100,4.65,PH,1667859624
205,lebu,-37.6167,-73.65,57.0,74,20,10.65,CL,1667859624
206,forssa,60.8146,23.6215,45.68,97,100,7.76,FI,1667859625
